CITY,NAME,CTB_NAME,CTB_GENDER_USAGE,MEN,SEAT_NOT_IN_USE_1,COUNT_1,WOMEN,SEAT_NOT_IN_USE_2,COUNT_2,MIX,SEAT_NOT_IN_USE_3,COUNT_3
AIROLI,"SAMTA NAGAR, AIROLI",1,DEDICATED SEATS FOR MEN AND WOMEN,8,0,8,8,3,5,,,
AIROLI,"SAMTA NAGAR, AIROLI",2,DEDICATED SEATS FOR MEN AND WOMEN,10,1,9,8,4,4,,,
AIROLI,"SAMTA NAGAR, AIROLI",3,CLOSED,CLOSED,,,CLOSED,,,,,
AIROLI,"AIROLI NAKA SLUM,AIROLI",1,DEDICATED SEATS FOR MEN AND WOMEN,3,0,3,3,0,3,,,
AIROLI,"AIROLI NAKA SLUM,AIROLI",2,DEDICATED SEATS FOR MEN AND WOMEN,10,0,10,10,0,10,,,
AIROLI,"CHATRAPATI COLONY,AIROLI",1,MIX,,,,,,,8,0,8
AIROLI,"CHINCHPADA,AIROLI",1,MIX,,,,,,,10,0,10
AIROLI,"CHINCHPADA,AIROLI",2,MIX,,,,,,,12,0,12
AIROLI,"CHINCHPADA,AIROLI",3,MIX,,,,,,,8,0,8
AIROLI,"CHINCHPADA,AIROLI",4,MIX,,,,,,,16,0,16
AIROLI,"CHINCHPADA,AIROLI",5,MIX,,,,,,,8,0,8
AIROLI,"CHINCHPADA,AIROLI",6,MIX,,,,,,,21,0,21
AIROLI,"CHINCHPADA,AIROLI",7,MIX,,,,,,,12,0,12
AIROLI,"CHINCHPADA,AIROLI",8,MIX,,,,,,,16,0,16
AIROLI,"CHINCHPADA,AIROLI",9,CLOSED,,,,,,,CLOSED,,
AIROLI,"CHINCHPADA,AIROLI",10,CLOSED,,,,,,,CLOSED,,
AIROLI,"GANPATI COLONY,AIROLI",0,CLOSED,,,,,,,,,
AIROLI,"GAVTEWADI, CHINCHPADA,AIR",1,DEDICATED SEATS FOR MEN AND WOMEN,6,0,6,6,0,6,,,
AIROLI,"SAINATH WADI ,AIROLI",1,DEDICATED SEATS FOR MEN AND WOMEN,8,0,8,8,0,8,,,
AIROLI,"SAINATH WADI ,AIROLI",2,DEDICATED SEATS FOR MEN AND WOMEN,6,0,6,6,0,6,,,
AIROLI,"SAINATH WADI ,AIROLI",3,DEDICATED SEATS FOR MEN AND WOMEN,7,1,6,6,0,6,,,
GHANSOLI,"AMBEDKAR NAGAR,GHANSOLI",1,DEDICATED SEATS FOR MEN AND WOMEN,8,0,8,,,,,,
GHANSOLI,"AMBEDKAR NAGAR,GHANSOLI",2,DEDICATED SEATS FOR MEN AND WOMEN,10,0,10,10,0,10,,,
GHANSOLI,"AMBEDKAR NAGAR,GHANSOLI",0,CLOSED,,,,,,,,,
GHANSOLI,"AMBEDKAR NAGAR,GHANSOLI",4,DEDICATED SEATS FOR MEN AND WOMEN,9,0,9,6,0,6,,,
GHANSOLI,"AMBEDKAR NAGAR,GHANSOLI",5,DEDICATED SEATS FOR MEN AND WOMEN,16,0,16,,,,,,
GHANSOLI,"AMBEDKAR NAGAR,GHANSOLI",6,DEDICATED SEATS FOR MEN AND WOMEN,11,0,11,9,0,9,,,
GHANSOLI,"AMBEDKAR NAGAR,GHANSOLI",7,DEDICATED SEATS FOR MEN AND WOMEN,,,,16,0,16,,,
GHANSOLI,"AMBEDKAR NAGAR,GHANSOLI",8,DEDICATED SEATS FOR MEN AND WOMEN,10,0,10,,,,,,
GHANSOLI,"BHIM NAGAR,GHANSOLI",1,DEDICATED SEATS FOR MEN AND WOMEN,,,,,,,,,
GHANSOLI,"BHIM NAGAR,GHANSOLI",2,DEDICATED SEATS FOR MEN AND WOMEN,8,0,8,8,0,8,,,
GHANSOLI,"BHIM NAGAR,GHANSOLI",3,DEDICATED SEATS FOR MEN AND WOMEN,10,0,10,10,0,10,,,
GHANSOLI,"GAUTAM NAGAR,GHANSOLI",1,DEDICATED SEATS FOR MEN AND WOMEN,11,0,11,,,,,,
GHANSOLI,"GAUTAM NAGAR,GHANSOLI",2,CLOSED,,,,,,,,,
GHANSOLI,"GAUTAM NAGAR,GHANSOLI",3,DEDICATED SEATS FOR MEN AND WOMEN,8,0,8,8,0,8,,,
GHANSOLI,"GAUTAM NAGAR,GHANSOLI",4,DEDICATED SEATS FOR MEN AND WOMEN,,,,10,0,10,,,
GHANSOLI,"GAUTAM NAGAR,GHANSOLI",5,DEDICATED SEATS FOR MEN AND WOMEN,8,0,8,8,0,8,,,
GHANSOLI,"NOSIL NAKA,GHANSOLI",1,DEDICATED SEATS FOR MEN AND WOMEN,,,,,,,,,
GHANSOLI,"NOSIL NAKA,GHANSOLI",2,DEDICATED SEATS FOR MEN AND WOMEN,5,0,5,,,,,,
GHANSOLI,"NOSIL NAKA,GHANSOLI",3,DEDICATED SEATS FOR MEN AND WOMEN,9,8,1,7,0,7,,,
